Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	sample_id	group	workflow
Plant_sample_5_bin.23	62.29	2.91	Gradient Boost (General Model)	11	0.916	3696	260.417216358839	2582945	0.69	3032	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.3	75.89	1.56	Gradient Boost (General Model)	11	0.915	4254	271.6431598062954	2937384	0.66	3304	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.4	74.18	0.88	Neural Network (Specific Model)	11	0.894	5395	264.8124213176668	4230590	0.66	4766	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.5	100.0	0.88	Neural Network (Specific Model)	11	0.89	220604	324.9995026525199	6600930	0.59	6032	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.6	99.99	1.0	Neural Network (Specific Model)	11	0.874	632673	307.6496194824962	6923968	0.63	6570	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.7	100.0	0.1	Neural Network (Specific Model)	11	0.875	8272917	340.3038705137228	8272917	0.73	7105	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.8	99.98	0.06	Neural Network (Specific Model)	11	0.849	84833	334.98083957498693	6781725	0.73	5741	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_5_bin.9	96.26	4.69	Gradient Boost (General Model)	11	0.87	16434	356.5413900819992	12569646	0.71	10244	None	Plant_sample_5	Plant	MetaWRAP
Plant_sample_6_bin.1	100.0	0.1	Neural Network (Specific Model)	11	0.875	8272925	340.3030260380014	8272925	0.73	7105	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.10	99.5	1.54	Neural Network (Specific Model)	11	0.876	367311	299.8350458966982	7486436	0.6	7299	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.11	100.0	0.88	Neural Network (Specific Model)	11	0.89	220602	324.9454666003647	6600890	0.59	6033	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.12	89.74	6.63	Gradient Boost (General Model)	11	0.909	4947	273.050139275766	3228231	0.65	3590	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.13	51.03	1.31	Neural Network (Specific Model)	11	0.902	5987	274.88544691836074	2828120	0.64	3099	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.14	85.09	0.1	Neural Network (Specific Model)	11	0.88	20294	295.0615438108484	5776389	0.65	5752	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.15	99.98	0.08	Neural Network (Specific Model)	11	0.849	84851	334.9811649808162	6773257	0.73	5734	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.16	86.41	2.16	Neural Network (Specific Model)	11	0.9	8095	290.4338869035106	4597244	0.65	4757	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.17	100.0	3.56	Neural Network (Specific Model)	11	0.931	293693	337.36398796733994	7574006	0.7	6981	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.18	99.51	1.92	Neural Network (Specific Model)	11	0.867	218806	299.19634894091416	7421284	0.61	7176	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.19	88.43	5.6	Neural Network (Specific Model)	11	0.837	14124	278.84979729061604	10086784	0.62	10113	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.2	97.24	0.38	Neural Network (Specific Model)	11	0.871	26426	300.7321764864138	7683638	0.73	7434	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.3	100.0	0.65	Neural Network (Specific Model)	11	0.876	158439	326.7540155206641	6188257	0.59	5541	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.4	94.39	1.18	Neural Network (Specific Model)	11	0.897	29824	311.2128846153846	5406389	0.62	5200	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.5	99.98	0.18	Neural Network (Specific Model)	11	0.922	614531	329.60274494853223	5616875	0.67	5246	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.6	91.23	0.0	Neural Network (Specific Model)	11	0.876	166988	302.4040404040404	5938196	0.63	5742	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.7	82.32	0.6	Neural Network (Specific Model)	11	0.918	15385	324.7571221632062	4390849	0.66	4142	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.8	100.0	1.51	Neural Network (Specific Model)	11	0.896	598765	331.30664294187426	5604463	0.67	5058	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_6_bin.9	100.0	0.06	Neural Network (Specific Model)	11	0.906	327468	336.2486052998605	3189866	0.38	2868	None	Plant_sample_6	Plant	MetaWRAP
Plant_sample_7_bin.1	99.9	0.03	Neural Network (Specific Model)	11	0.888	69706	351.85664578983994	5117862	0.34	4311	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.10	99.92	0.02	Neural Network (Specific Model)	11	0.848	85847	329.4647887323944	6282184	0.73	5396	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.11	88.18	0.0	Neural Network (Specific Model)	11	0.901	495731	332.9583160514309	5340312	0.67	4822	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.12	58.12	1.43	Neural Network (Specific Model)	11	0.904	3947	272.6531058617673	2065332	0.38	2286	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.13	99.99	0.23	Neural Network (Specific Model)	11	0.892	126209	331.41113653699466	5835876	0.64	5244	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.14	82.18	0.03	Neural Network (Specific Model)	11	0.889	161921	310.0962962962963	4937732	0.64	4725	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.15	89.47	0.06	Neural Network (Specific Model)	11	0.872	9117	283.514378730331	7176062	0.73	7372	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.16	92.09	0.11	Gradient Boost (General Model)	11	0.916	10134	291.22307929651345	3087104	0.65	3241	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.17	100.0	0.78	Neural Network (Specific Model)	11	0.877	165499	326.38689179375456	6143845	0.59	5508	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.18	82.41	2.14	Neural Network (Specific Model)	11	0.891	8981	296.8268327547478	4887988	0.68	4897	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.2	99.42	4.16	Neural Network (Specific Model)	11	0.876	363896	299.7366323024055	7455675	0.6	7275	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.3	56.23	0.02	Neural Network (Specific Model)	11	0.902	1924459	340.12727898176814	3285768	0.67	2907	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.4	99.94	0.18	Neural Network (Specific Model)	11	0.922	614530	330.4632190819804	5356216	0.67	4989	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.5	99.02	1.91	Neural Network (Specific Model)	11	0.866	218824	299.4385124665446	7351500	0.61	7099	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.6	99.99	0.21	Neural Network (Specific Model)	11	0.926	57063	321.5774391253934	6282271	0.68	6037	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.7	100.0	0.79	Neural Network (Specific Model)	11	0.876	8272918	345.30705563093625	8700540	0.73	7370	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.8	61.85	5.69	Neural Network (Specific Model)	11	0.877	14566	307.4021495745634	4693003	0.63	4466	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_7_bin.9	100.0	0.88	Neural Network (Specific Model)	11	0.89	220605	325.0165809981761	6600873	0.59	6031	None	Plant_sample_7	Plant	MetaWRAP
Plant_sample_8_bin.1	71.29	2.24	Neural Network (Specific Model)	11	0.88	7166	269.527539341917	5129673	0.6	5592	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.10	83.82	0.0	Neural Network (Specific Model)	11	0.898	506008	332.7978723404256	5113256	0.67	4606	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.11	99.06	1.91	Neural Network (Specific Model)	11	0.866	218826	299.36952541895505	7351197	0.61	7101	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.12	94.92	0.38	Neural Network (Specific Model)	11	0.871	26426	300.9737656397148	7688703	0.73	7433	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.13	98.69	9.42	Neural Network (Specific Model)	11	0.863	22911	285.5870259906264	9299635	0.63	9388	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.14	75.06	1.14	Neural Network (Specific Model)	11	0.912	6984	284.56049723756905	3380929	0.65	3620	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.15	82.71	0.19	Neural Network (Specific Model)	11	0.873	5360	280.1147999301066	5502421	0.63	5723	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.2	100.0	0.1	Neural Network (Specific Model)	11	0.898	182174	324.2874476987448	5171666	0.65	4780	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.3	99.99	0.04	Neural Network (Specific Model)	11	0.885	105911	328.9594143810229	6010652	0.6	5396	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.4	100.0	0.0	Neural Network (Specific Model)	11	0.875	78834	305.30410534469405	6746586	0.64	6455	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.5	100.0	0.1	Neural Network (Specific Model)	11	0.876	8272923	340.34806474313865	8272923	0.73	7105	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.6	99.99	0.09	Neural Network (Specific Model)	11	0.848	84841	334.6258931609391	6948033	0.73	5878	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.7	100.0	0.92	Neural Network (Specific Model)	11	0.891	220881	325.33158872193144	6480646	0.59	5923	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.8	99.98	0.18	Neural Network (Specific Model)	11	0.922	614498	329.6868089973313	5619713	0.67	5246	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_8_bin.9	100.0	0.78	Neural Network (Specific Model)	11	0.877	165495	326.4595968767024	6143966	0.59	5507	None	Plant_sample_8	Plant	MetaWRAP
Plant_sample_9_bin.1	99.63	1.03	Neural Network (Specific Model)	11	0.899	130584	334.3131573724945	5615850	0.63	5039	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.10	95.07	0.84	Neural Network (Specific Model)	11	0.891	24436	318.91611811171714	5699838	0.64	5317	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.11	99.98	0.16	Neural Network (Specific Model)	11	0.922	614539	329.48828348256814	5619028	0.67	5249	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.12	46.73	4.06	Neural Network (Specific Model)	11	0.911	3587	269.91904	2773769	0.65	3125	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.13	100.0	0.88	Neural Network (Specific Model)	11	0.89	220599	325.1048266710897	6600794	0.59	6029	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.14	98.59	2.68	Neural Network (Specific Model)	11	0.877	33074	291.39943462897526	7042034	0.6	7075	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.15	95.38	0.39	Neural Network (Specific Model)	11	0.871	26606	301.0888679752622	7700772	0.73	7438	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.16	100.0	0.06	Neural Network (Specific Model)	11	0.906	121296	333.8463406174124	3184872	0.38	2883	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.2	100.0	0.1	Neural Network (Specific Model)	11	0.875	8272923	340.23469818488815	8272923	0.73	7107	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.3	99.98	0.05	Neural Network (Specific Model)	11	0.85	84845	336.53613712670085	6708148	0.73	5659	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.4	83.06	4.03	Neural Network (Specific Model)	11	0.838	13522	279.99955830388694	9058587	0.62	9056	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.5	100.0	2.14	Neural Network (Specific Model)	11	0.877	165493	325.8206423673764	6169205	0.59	5542	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.6	99.99	0.0	Neural Network (Specific Model)	11	0.888	464222	359.18795577511173	5151893	0.34	4251	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.7	82.12	0.31	Neural Network (Specific Model)	11	0.91	47513	318.0238741182854	3856902	0.65	3686	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.8	100.0	0.2	Neural Network (Specific Model)	11	0.898	267943	325.2217555648887	5167189	0.65	4762	None	Plant_sample_9	Plant	MetaWRAP
Plant_sample_9_bin.9	99.52	1.92	Neural Network (Specific Model)	11	0.866	218825	298.9961002785515	7421814	0.61	7180	None	Plant_sample_9	Plant	MetaWRAP
marine_sample_0_bin.1	96.02	0.86	Neural Network (Specific Model)	11	0.886	17339	306.0694204152249	4780023	0.51	4624	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.10	90.44	0.87	Neural Network (Specific Model)	11	0.872	13749	268.7953821656051	2317288	0.62	2512	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.11	99.9	0.0	Neural Network (Specific Model)	11	0.863	32102	310.8048780487805	3583456	0.45	3321	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.12	76.59	0.33	Neural Network (Specific Model)	11	0.924	4820	272.37829525483306	4014921	0.65	4552	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.13	99.98	0.15	Neural Network (Specific Model)	11	0.859	94493	296.96945088940447	2674220	0.49	2586	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.14	99.99	1.33	Neural Network (Specific Model)	11	0.865	59073	302.7656879677605	3642668	0.64	3474	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.15	84.83	0.38	Neural Network (Specific Model)	11	0.925	6939	289.74040874865545	2615949	0.69	2789	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.16	100.0	0.04	Neural Network (Specific Model)	11	0.954	1739483	327.64935064935065	1739483	0.63	1694	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.17	99.58	0.0	Neural Network (Specific Model)	11	0.874	310359	338.9361326746648	3293190	0.45	2834	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.18	100.0	0.19	Neural Network (Specific Model)	11	0.913	2562272	306.0207598903251	2562272	0.44	2553	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.19	99.95	0.04	Neural Network (Specific Model)	11	0.574	1481172	356.09033877038894	1481172	0.34	797	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.2	94.37	0.54	Neural Network (Specific Model)	11	0.895	19577	313.3937007874016	2930921	0.34	2794	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.20	99.99	0.31	Neural Network (Specific Model)	11	0.827	482145	290.9533706368239	3955307	0.27	3753	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.21	72.54	2.91	Neural Network (Specific Model)	11	0.893	4959	278.09359692092374	5330148	0.71	5716	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.22	100.0	0.02	Neural Network (Specific Model)	11	0.857	106998	323.45930717863104	5422889	0.44	4792	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.23	99.98	0.62	Neural Network (Specific Model)	11	0.878	4079427	304.90777070063695	4079427	0.52	3925	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.24	99.99	0.58	Neural Network (Specific Model)	11	0.852	1667154	260.41083150984684	1667154	0.54	1828	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.25	54.46	11.35	Neural Network (Specific Model)	11	0.89	3785	255.65852575488452	1937501	0.3	2252	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.26	78.08	6.68	Neural Network (Specific Model)	11	0.898	5876	296.5741935483871	3220168	0.36	3255	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.27	87.42	0.59	Neural Network (Specific Model)	11	0.901	19576	309.0678997892765	4387611	0.55	4271	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.28	99.98	0.01	Neural Network (Specific Model)	11	0.834	167895	333.48013750954925	3138788	0.43	2618	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.29	66.0	5.87	Neural Network (Specific Model)	11	0.906	4498	268.51880094662107	3373992	0.66	3803	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.3	83.12	0.37	Neural Network (Specific Model)	11	0.872	12311	307.9797261716693	4017607	0.48	3798	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.30	49.54	0.22	Neural Network (Specific Model)	11	0.887	3414	241.05878928987195	1398760	0.64	1718	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.31	99.73	0.06	Neural Network (Specific Model)	11	0.948	1926624	325.77386666666666	1926624	0.64	1875	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.32	60.15	0.33	Neural Network (Specific Model)	11	0.866	4152	253.6277033985582	1703224	0.34	1942	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.33	99.99	1.03	Neural Network (Specific Model)	11	0.765	212589	298.9756911344137	4911423	0.43	4196	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.34	99.63	0.31	Neural Network (Specific Model)	11	0.814	37243	304.77583006805526	5439275	0.43	4849	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.35	60.17	6.97	Neural Network (Specific Model)	11	0.927	4447	247.3069498069498	1237188	0.55	1554	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.36	62.79	3.49	Neural Network (Specific Model)	11	0.894	3917	258.45331205107743	3254445	0.61	3759	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.37	79.54	0.41	Neural Network (Specific Model)	11	0.917	5728	277.05579964850614	2059801	0.72	2276	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.38	99.87	0.22	Neural Network (Specific Model)	11	0.915	1859366	285.761426418885	1859366	0.43	1991	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.39	99.97	0.0	Neural Network (Specific Model)	11	0.869	99438	299.0367293397464	2359281	0.33	2287	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.4	86.57	8.42	Neural Network (Specific Model)	11	0.901	7355	219.49048050770625	1606694	0.34	2206	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.40	99.98	0.19	Neural Network (Specific Model)	11	0.87	3481680	309.2574832009774	3481680	0.5	3274	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.41	60.59	5.74	Neural Network (Specific Model)	11	0.889	3912	302.75758227575824	4743955	0.34	4649	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.42	99.98	0.1	Neural Network (Specific Model)	11	0.93	2238484	311.58057395143487	2269079	0.68	2265	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.43	100.0	0.05	Neural Network (Specific Model)	11	0.878	486560	323.8977200085233	5182863	0.69	4693	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.44	98.77	0.4	Neural Network (Specific Model)	11	0.868	21559	330.06716604244696	4559585	0.54	4005	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.45	100.0	0.84	Neural Network (Specific Model)	11	0.902	3251308	316.3195476575121	3251308	0.65	3095	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.46	90.16	1.45	Neural Network (Specific Model)	11	0.876	13839	303.6781940441883	7563318	0.72	7287	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.47	99.87	0.38	Neural Network (Specific Model)	11	0.843	4048866	313.5909716487751	4048866	0.66	3633	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.48	49.76	2.2	Neural Network (Specific Model)	11	0.895	3116	244.3670988654781	2017421	0.42	2468	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.49	99.99	0.4	Neural Network (Specific Model)	11	0.924	4830145	350.50388143966126	4830145	0.67	4251	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.5	99.1	0.59	Neural Network (Specific Model)	11	0.928	22581	262.3248995983936	2100631	0.49	2490	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.50	73.22	0.01	Neural Network (Specific Model)	11	0.892	4734	250.9266745937376	2120210	0.53	2523	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.51	100.0	0.0	Neural Network (Specific Model)	11	0.886	3899907	327.0601864933597	3915776	0.44	3539	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.52	79.88	5.95	Neural Network (Specific Model)	11	0.889	5878	285.2105765559374	5033326	0.46	5238	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.6	99.83	0.18	Neural Network (Specific Model)	11	0.93	103815	284.9578662543487	2368333	0.6	2587	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.7	75.32	0.2	Neural Network (Specific Model)	11	0.948	5977	239.66546762589928	417951	0.31	556	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.8	100.0	1.15	Neural Network (Specific Model)	11	0.902	141828	333.9493627282122	6438174	0.68	5806	None	marine_sample_0	marine	MetaWRAP
marine_sample_0_bin.9	99.94	0.66	Neural Network (Specific Model)	11	0.872	56816	328.63442791174964	4399897	0.57	3898	None	marine_sample_0	marine	MetaWRAP
marine_sample_1_bin.1	99.93	0.85	Neural Network (Specific Model)	11	0.873	46393	328.891713091922	3239603	0.45	2872	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.10	88.52	0.7	Neural Network (Specific Model)	11	0.889	7446	288.4701442841288	4375913	0.51	4505	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.11	100.0	0.19	Neural Network (Specific Model)	11	0.913	2562268	306.0207598903251	2562268	0.44	2553	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.12	88.66	0.34	Neural Network (Specific Model)	11	0.904	8582	285.04461942257217	3596046	0.6	3810	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.13	79.78	0.33	Neural Network (Specific Model)	11	0.56	24964	319.6251572327044	1360305	0.33	795	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.14	99.99	1.68	Neural Network (Specific Model)	11	0.872	63458	329.4707086211307	4422622	0.57	3909	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.16	95.23	1.12	Neural Network (Specific Model)	11	0.922	22857	269.5746451297112	1783851	0.43	2043	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.17	95.31	0.77	Neural Network (Specific Model)	11	0.931	23913	308.3454418442193	2840562	0.7	2863	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.18	100.0	0.04	Neural Network (Specific Model)	11	0.869	107448	298.9469920067312	2451220	0.33	2377	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.19	99.97	0.01	Neural Network (Specific Model)	11	0.834	102460	332.7235895494131	3161112	0.43	2641	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.2	53.31	0.56	Neural Network (Specific Model)	11	0.891	3416	241.18051282051283	1578348	0.53	1950	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.20	65.36	0.03	Neural Network (Specific Model)	11	0.937	4192	282.56886840757807	1760857	0.61	1953	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.23	73.79	1.78	Neural Network (Specific Model)	11	0.896	5580	278.3289266603714	2956005	0.5	3177	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.24	99.8	0.06	Neural Network (Specific Model)	11	0.948	1926629	325.7690666666667	1926629	0.64	1875	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.27	93.48	1.82	Neural Network (Specific Model)	11	0.907	9603	302.06063077759654	3670580	0.58	3678	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.29	100.0	0.36	Neural Network (Specific Model)	11	0.874	73575	285.14525139664806	3321875	0.49	3401	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.3	49.93	0.4	Neural Network (Specific Model)	11	0.904	3620	261.1825075834176	1711575	0.69	1978	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.30	83.72	3.29	Neural Network (Specific Model)	11	0.891	7273	271.7340425531915	3006332	0.63	3290	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.32	100.0	0.26	Neural Network (Specific Model)	11	0.865	442905	307.4742207981357	3653313	0.64	3433	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.33	100.0	0.84	Neural Network (Specific Model)	11	0.902	3251327	316.32019386106623	3251327	0.65	3095	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.34	91.07	1.54	Neural Network (Specific Model)	11	0.835	9272	300.43481654957066	2763967	0.43	2562	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.35	99.92	0.2	Neural Network (Specific Model)	11	0.925	127701	314.87519103413143	1998631	0.47	1963	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.36	99.87	0.22	Neural Network (Specific Model)	11	0.916	1012001	285.4247743229689	1859334	0.43	1994	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.15	99.36	0.85	Neural Network (Specific Model)	11	0.887	21264	361.72925004350094	7019945	0.35	5747	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.21	90.11	2.99	Neural Network (Specific Model)	11	0.88	10430	290.2253824606766	4583305	0.63	4641	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.22	100.0	0.0	Neural Network (Specific Model)	11	0.88	3455652	323.7182335410458	4069059	0.44	3691	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.25	99.99	0.4	Neural Network (Specific Model)	11	0.924	1356648	350.08811090225566	4829982	0.67	4256	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.26	86.34	0.51	Neural Network (Specific Model)	11	0.901	7208	288.5640365254039	4096032	0.55	4271	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.28	99.77	6.2	Neural Network (Specific Model)	11	0.884	14803	313.3133740397873	5386797	0.49	5077	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.31	99.98	0.32	Neural Network (Specific Model)	11	0.889	1081864	408.9491110748654	8452502	0.7	6131	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.37	87.78	1.26	Neural Network (Specific Model)	11	0.867	35780	316.82170785111043	3501568	0.45	3197	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.38	76.26	2.15	Neural Network (Specific Model)	11	0.894	5809	278.22230950510607	2374696	0.34	2546	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.39	84.26	2.04	Neural Network (Specific Model)	11	0.899	7429	298.3159590043924	3394635	0.45	3415	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.4	99.99	0.58	Neural Network (Specific Model)	11	0.852	1667155	260.3127392017496	1667155	0.54	1829	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.40	95.58	0.55	Neural Network (Specific Model)	11	0.87	19910	318.4518768046198	6837039	0.73	6234	None	marine_sample_1	marine	MetaWRAP
marine_sample_1_bin.41	100.0	1.22	Neural Network (Specific Model)	11	0.844	75033	309.4871150219988	3494473	0.47	3182	None	marine_sample_1	marine	MetaWRAP
